BenchmarkCode,DateFrom,DateTo,Performance
JB06,2014-11-01,2014-11-30,0.9771967496
JB06,2014-12-01,2014-12-31,-0.0000003990
JB06,2015-01-01,2015-01-31,-14.0903214448
JB06,2015-02-01,2015-02-28,1.2616398549
JB06,2015-03-01,2015-03-31,1.1124291821
JB06,2015-04-01,2015-04-30,0.3667302974
JB06,2015-05-01,2015-05-31,0.1169246897
JB06,2015-06-01,2015-06-30,-1.4598540846
JB06,2015-07-01,2015-07-31,1.5999996073
JB06,2015-08-01,2015-08-31,0.7290761926
JB06,2015-09-01,2015-09-30,-0.8396055184
JB06,2015-10-01,2015-10-31,0.1167884611
JB06,2015-11-01,2015-11-30,3.1641877576
JB06,2015-12-01,2015-12-31,6.0070674687
JB06,2016-01-01,2016-01-31,0.4399989277
JB06,2016-02-01,2016-02-29,4.2081498215
JB06,2016-03-01,2016-03-31,0.6369427304
JB06,2016-04-01,2016-04-30,1.0506312579
JB06,2016-05-01,2016-05-31,0.2129535173
JB06,2016-06-01,2016-06-30,-1.2499986157
JB06,2016-07-01,2016-07-31,0.5316465988
JB06,2016-08-01,2016-08-31,1.3598588220
JB06,2016-09-01,2016-09-30,-1.0310539485
JB06,2016-10-01,2016-10-31,0.0000000167
JB06,2016-11-01,2016-11-30,-0.1129655737
JB06,2016-12-01,2016-12-31,0.0000013112
JB06,2017-01-01,2017-01-31,0.0000001218
JB06,2017-02-01,2017-02-28,-0.5152039625
JB06,2017-03-01,2017-03-31,0.2020944299
JB06,2017-04-01,2017-04-30,-0.7311234195
JB06,2017-05-01,2017-05-31,0.1015866000
JB06,2017-06-01,2017-06-30,-0.9514147524
JB06,2017-07-01,2017-07-31,-4.2648575696
JB06,2017-08-01,2017-08-31,-1.3377913654
JB06,2017-09-01,2017-09-30,0.4474575114
JB06,2017-10-01,2017-10-31,2.2543193547
JB06,2017-11-01,2017-11-30,1.7557745464
JB06,2017-12-01,2017-12-31,-1.4011421726
JB06,2018-01-01,2018-01-31,-0.2236838714
JB06,2018-02-01,2018-02-28,-0.5406828851
JB06,2018-03-01,2018-03-31,-1.9888613723
JB06,2018-04-01,2018-04-30,-0.1217524055
JB06,2018-05-01,2018-05-31,0.5688742096
JB06,2018-06-01,2018-06-30,0.2289574323
JB06,2018-07-01,2018-07-31,1.0077933740
JB06,2018-08-01,2018-08-31,1.7693224513
JB06,2018-09-01,2018-09-30,-0.7581705524
JB06,2018-10-01,2018-10-31,1.0932564509
JB06,2018-11-01,2018-11-30,0.9771972590
JB06,2018-12-01,2018-12-31,0.0000000000
JB06,2019-01-01,2019-01-31,0.0000000000
JB12,2011-04-01,2011-04-30,0.0000000000
JB12,2011-05-01,2011-05-31,1.5389957889
JB12,2011-06-01,2011-06-30,-2.2792006038
JB12,2011-07-01,2011-07-31,-0.0932961091
JB12,2011-08-01,2011-08-31,1.0622166182
JB12,2011-09-01,2011-09-30,-2.2060513679
JB12,2011-10-01,2011-10-31,-0.0000000887
JB12,2011-11-01,2011-11-30,0.4842329792
JB12,2011-12-01,2011-12-31,-0.8227541874
JB12,2012-01-01,2012-01-31,0.3436843386
JB12,2012-02-01,2012-02-29,-1.4763192159
JB12,2012-03-01,2012-03-31,0.6952763972
JB12,2012-04-01,2012-04-30,2.8809512699
JB12,2012-05-01,2012-05-31,1.5389958372
JB12,2012-06-01,2012-06-30,-2.2791996266
JB12,2012-07-01,2012-07-31,-0.0932973041
JB12,2012-08-01,2012-08-31,1.0622166167
JB12,2012-09-01,2012-09-30,-2.2060514750
JB12,2012-10-01,2012-10-31,-0.0000008295
JB12,2012-11-01,2012-11-30,0.4842345438
JB12,2012-12-01,2012-12-31,-0.8227544546
JB12,2013-01-01,2013-01-31,0.3436825888
JB12,2013-02-01,2013-02-28,-1.4763187174
JB12,2013-03-01,2013-03-31,0.6952766510
JB12,2013-04-01,2013-04-30,-1.2857157576
JB12,2013-05-01,2013-05-31,-0.7115290211
JB12,2013-06-01,2013-06-30,-0.4008248979
JB12,2013-07-01,2013-07-31,-5.4878028140
JB12,2013-08-01,2013-08-31,-1.0709687092
JB12,2013-09-01,2013-09-30,1.5129772705
